TransMorph_ssim_1_diffusion_1
,SSIM,det
p426,0.888933002948761,0.0129852294921875
p427,0.8882350921630859,0.0094451904296875
p428,0.8783102631568909,0.01153564453125
p429,0.8820917010307312,0.0177764892578125
p430,0.8983505964279175,0.0125579833984375
p431,0.9002523422241211,0.0055999755859375
p432,0.9124051928520203,0.0064239501953125
p433,0.9150449633598328,0.0145111083984375
p434,0.9059651494026184,0.008636474609375
p435,0.9090979695320129,0.0094757080078125
p436,0.9187672138214111,0.01080322265625
p437,0.9105868935585022,0.00518798828125
p438,0.9019924998283386,0.00762939453125
p439,0.8965970277786255,0.0062103271484375
p440,0.9007743000984192,0.0096893310546875
p441,0.906258761882782,0.0084991455078125
p442,0.8979604840278625,0.0059967041015625
p443,0.9009889364242554,0.007598876953125
p444,0.9017114043235779,0.011627197265625
p445,0.9029268026351929,0.0112152099609375
p446,0.9155780076980591,0.0110626220703125
p447,0.917855978012085,0.0083160400390625
p448,0.87364262342453,0.0109710693359375
p449,0.8764321804046631,0.007537841796875
p450,0.8994166851043701,0.0123748779296875
p451,0.9035823345184326,0.0071868896484375
p452,0.8839859366416931,0.016387939453125
p453,0.8904054164886475,0.0050048828125
p454,0.9185998439788818,0.0092010498046875
p455,0.9140459299087524,0.0040130615234375
p456,0.8892168402671814,0.012908935546875
p457,0.8841580748558044,0.0056915283203125
p458,0.9111691117286682,0.0075225830078125
p459,0.913024365901947,0.0075531005859375
p460,0.9224845170974731,0.012603759765625
p461,0.9204282760620117,0.0060882568359375
p462,0.9213714599609375,0.011016845703125
p463,0.9160169959068298,0.0063934326171875
p464,0.9122305512428284,0.0063934326171875
p465,0.9134296178817749,0.006866455078125
p466,0.9135572910308838,0.01141357421875
p467,0.9028899669647217,0.0052032470703125
p468,0.9024105072021484,0.009765625
p469,0.9003428816795349,0.00933837890625
p470,0.9167975783348083,0.0081787109375
p471,0.9099746346473694,0.0048675537109375
p472,0.9170264005661011,0.0105743408203125
p473,0.9193419218063354,0.005462646484375
p474,0.8905324935913086,0.01092529296875
p475,0.8891375064849854,0.0101165771484375
p476,0.9185371398925781,0.00579833984375
p477,0.923931360244751,0.0021514892578125
p478,0.9047642350196838,0.0058746337890625
p479,0.9096091389656067,0.0057525634765625
p480,0.9155520796775818,0.01055908203125
p481,0.9077885746955872,0.00433349609375
p482,0.9090725779533386,0.007659912109375
p483,0.9140650629997253,0.0072021484375
p484,0.9123069643974304,0.010467529296875
p485,0.9125763773918152,0.0076141357421875
p486,0.9089536666870117,0.0086212158203125
p487,0.9062196016311646,0.0041656494140625
p488,0.9024596214294434,0.0087890625
p489,0.9122646450996399,0.0080108642578125
p490,0.905040442943573,0.0057525634765625
p491,0.9076935052871704,0.0087890625
p492,0.917527437210083,0.0075531005859375
p493,0.9221574664115906,0.005828857421875
p494,0.8852061629295349,0.00848388671875
p495,0.8969590067863464,0.0074310302734375
p496,0.8955010771751404,0.0113677978515625
p497,0.8980273008346558,0.008819580078125
p498,0.9150054454803467,0.0071258544921875
p499,0.9096692204475403,0.0062103271484375
p500,0.9093337059020996,0.0074920654296875
p501,0.916117787361145,0.007720947265625
p502,0.9165709614753723,0.011138916015625
p503,0.9169204235076904,0.00439453125
p504,0.903801441192627,0.0080718994140625
p505,0.9076945781707764,0.009063720703125
p506,0.9131673574447632,0.0082550048828125
p507,0.9111278057098389,0.0078887939453125
p508,0.9174165725708008,0.0110931396484375
p509,0.9161977171897888,0.0098114013671875
p510,0.9059609174728394,0.0097198486328125
p511,0.9077573418617249,0.009857177734375
p512,0.9003530144691467,0.0087738037109375
p513,0.8950503468513489,0.00970458984375
p514,0.8855715394020081,0.00543212890625
p515,0.8894028663635254,0.01666259765625
p516,0.9062564373016357,0.004913330078125
p517,0.9081949591636658,0.01080322265625
p518,0.9115489721298218,0.0086822509765625
p519,0.9136874079704285,0.0119781494140625
p520,0.8990625739097595,0.0115966796875
p521,0.8838245868682861,0.0053558349609375
p522,0.9036498665809631,0.010284423828125
p523,0.9055072069168091,0.0117034912109375
p524,0.9119619727134705,0.007415771484375
p525,0.9176322817802429,0.00347900390625
p526,0.9021825790405273,0.0087738037109375
p527,0.898215651512146,0.0095672607421875
p528,0.8852407336235046,0.0097198486328125
p529,0.8858898878097534,0.009552001953125
p530,0.9046217799186707,0.0086669921875
p531,0.904910683631897,0.010406494140625
p532,0.9043073058128357,0.0097503662109375
p533,0.9023140668869019,0.004119873046875
p534,0.8885277509689331,0.0081787109375
p535,0.8899701237678528,0.011566162109375
p536,0.896339476108551,0.0113983154296875
p537,0.8965021371841431,0.0080108642578125
p538,0.8847787976264954,0.0084228515625
p539,0.8911183476448059,0.01239013671875
p540,0.9071395993232727,0.0113983154296875
p541,0.898343563079834,0.0068511962890625
