TransMorph_ssim_1_diffusion_1
,SSIM,det
p564,0.5901361703872681,0.0
p565,0.5905430316925049,0.0
p566,0.6177477836608887,0.0
p567,0.6165524125099182,0.0
p568,0.6380317211151123,0.0
p569,0.6372113823890686,0.0
p570,0.6177611947059631,0.0
p571,0.6176103353500366,0.0
p572,0.6214423775672913,0.0
p573,0.6245283484458923,0.0
p574,0.5526955127716064,0.0
p575,0.5536514520645142,0.0
p576,0.6168168187141418,0.0
p577,0.6162399053573608,0.0
p578,0.5649089813232422,0.0
p579,0.5654232501983643,0.0
p580,0.589402973651886,0.0
p581,0.5867674350738525,0.0
p582,0.6203883290290833,0.0
p583,0.6194949746131897,0.0
p584,0.6236355304718018,0.0
p585,0.6222276091575623,0.0
